ID,RT,DT,CCS,m/z,Abundance,36 2286 - Mitra.d.DeMP, 39 2182 - Mitra.d.DeMP, 42 2187 - Mitra.d.DeMP, 45 2854 - Mitra.d.DeMP, 48 2911 - Mitra.d.DeMP, 126 1777 - Mitra.d.DeMP, 129 1821 - Mitra.d.DeMP, 132 1673 - Mitra.d.DeMP, 135 1894 - Mitra.d.DeMP, 138 3330 - Mitra.d.DeMP, 81 2003 - Mitra.d.DeMP, 84 2095 - Mitra.d.DeMP, 87 2046 - Mitra.d.DeMP, 90 2889 - Mitra.d.DeMP, 93 3021 - Mitra.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1210,16.451,35.983,266.06,705.4875,181,0.001,0.001,239,0.001,270,2073,0.001,0.001,139,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1211,7.223,28.803,214.38,511.2548,181,91,0.001,0.001,0.001,162,0.001,73,508,161,0.001,872,165,246,362,75,0.001,0.001,0.001
1212,15.556,37.291,275.2,754.5036,181,0.001,82,0.001,0.001,148,641,0.001,225,0.001,454,0.001,178,0.001,802,182,0.001,0.001,0.001
1213,13.313,31.713,235.82,537.4153,181,124,159,0.001,415,66,0.001,151,298,0.001,0.001,438,207,343,439,69,0.001,0.001,0.001
1214,14.677,28.454,213.24,409.3672,180,138,162,173,260,121,0.001,96,301,173,321,221,155,238,165,179,0.001,0.001,0.001
1215,1.569,19.364,149.81,204.0654,180,269,166,297,156,242,0.001,256,0.001,173,388,0.001,136,134,110,375,0.001,0.001,0.001
1216,16,34.151,252.9,645.4499,180,0.001,0.001,116,233,0.001,1887,236,0.001,0.001,0.001,0.001,0.001,0.001,0.001,229,0.001,0.001,0.001
1217,14.471,29.296,219.3,427.3792,179,0.001,95,142,473,137,0.001,0.001,389,231,533,465,0.001,215,0.001,0.001,0.001,0.001,0.001
1218,14.184,28.917,216.48,425.3624,178,131,171,103,329,125,0.001,225,155,0.001,399,314,203,316,198,0.001,0.001,0.001,0.001
1219,0.238,21.233,160.03,352.9956,178,300,283,253,267,194,259,0.001,298,179,0.001,0.001,246,146,244,0.001,0.001,0.001,0.001
1220,10.411,23.477,177.23,333.1249,177,145,142,175,156,159,179,213,200,174,191,158,200,187,197,184,163,152,142
1221,11.124,17.506,134.83,219.0261,177,0.001,0.001,0.001,438,0.001,484,491,0.001,536,0.001,0.001,0.001,709,0.001,0.001,0.001,0.001,0.001
1222,13.274,29.802,222.71,447.3469,177,0.001,321,0.001,205,138,0.001,215,424,0.001,671,155,208,0.001,321,0.001,0.001,0.001,0.001
1223,13.278,28.853,215.41,466.2929,177,222,105,117,0.001,132,189,311,274,525,0.001,0.001,236,544,0.001,0.001,0.001,0.001,0.001
1224,15.47,27.694,207.72,397.368,177,159,235,268,0.001,222,241,226,274,0.001,224,110,114,320,0.001,262,80,0.001,0.001
1225,14.522,28.615,213.61,463.2827,177,159,0.001,169,184,191,200,130,202,379,161,104,155,339,129,149,0.001,0.001,0.001
1226,14.369,21.798,165.38,297.0456,177,145,249,179,224,142,0.001,163,248,228,147,143,162,282,175,163,0.001,0.001,0.001
1227,15.147,19.547,150.58,223.0278,177,0.001,942,671,509,0.001,527,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1228,13.584,24.044,181.81,319.2305,177,0.001,0.001,373,535,0.001,0.001,434,290,303,260,0.001,454,0.001,0.001,0.001,0.001,0.001,0.001
1229,0.502,16.378,131,130.087,176,134,196,170,184,146,175,237,179,163,227,154,133,189,155,200,0.001,0.001,0.001
1230,12.947,17.478,134.78,217.0345,176,450,0.001,490,442,0.001,477,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,783,415,0.001,0.001
1231,15.345,25.686,193.81,336.3262,175,0.001,183,144,171,162,259,183,229,212,171,164,166,273,190,123,0.001,0.001,0.001
1232,10.272,23.92,181.04,313.2372,175,218,170,209,154,142,0.001,189,230,185,255,130,144,111,265,226,0.001,146,0.001
1233,13.469,30.941,229.91,552.3095,175,0.001,110,150,218,101,0.001,234,369,501,299,223,110,187,0.001,123,0.001,0.001,0.001
1234,15.139,29.178,217.56,483.263,174,163,195,158,169,219,195,183,151,186,214,230,0.001,178,179,194,132,130,0.001
1235,13.632,24.023,181.63,319.2299,174,236,299,0.001,0.001,240,221,256,0.001,0.001,0.001,207,331,299,243,281,183,150,156
1236,13.329,35.374,261.95,653.4552,174,232,292,445,261,448,0.001,0.001,301,0.001,0.001,112,0.001,137,121,257,0.001,0.001,0.001
1237,14.797,30.129,223.98,543.055,174,0.001,611,207,381,0.001,229,241,0.001,233,0.001,0.001,91,480,131,0.001,0.001,0.001,0.001
1238,15.564,25.464,190.04,469.0367,174,0.001,262,138,190,93,188,217,207,136,145,126,184,276,207,234,0.001,0.001,0.001
1239,12.209,23.154,175.41,307.0088,173,0.001,231,212,240,115,0.001,190,222,349,0.001,0.001,211,422,181,229,0.001,0.001,0.001
1240,14.042,33.224,246.74,567.4624,173,87,110,198,480,0.001,0.001,0.001,376,128,363,424,0.001,194,242,0.001,0.001,0.001,0.001
1241,12.877,17.428,133.66,244.0263,173,409,443,439,454,377,0.001,0.001,0.001,0.001,478,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1242,14.287,32.879,244.8,501.3951,173,0.001,0.001,0.001,0.001,264,0.001,296,595,473,520,0.001,0.001,0.001,448,0.001,0.001,0.001,0.001
1243,11.918,27.295,204.72,401.2303,173,253,223,169,332,266,111,0.001,245,0.001,161,0.001,132,322,196,183,0.001,0.001,0.001
1244,9.135,21.892,166.83,267.1128,173,304,0.001,0.001,212,0.001,260,256,0.001,0.001,570,242,0.001,224,233,291,0.001,0.001,0.001
1245,6.836,16.379,124.76,272.9948,173,146,214,0.001,264,0.001,279,236,278,188,223,0.001,272,243,0.001,245,0.001,0.001,0.001
1246,13.008,18.959,144.66,260.0425,172,0.001,0.001,0.001,0.001,293,340,312,304,0.001,0.001,340,359,0.001,333,298,0.001,0.001,0.001
1247,13.538,31.569,235.58,467.3139,171,0.001,208,185,0.001,156,0.001,260,358,373,336,107,0.001,295,291,0.001,0.001,0.001,0.001
1248,13.832,29.574,219.09,625.0589,171,0.001,0.001,338,0.001,252,281,355,0.001,125,301,294,347,0.001,0.001,276,0.001,0.001,0.001
1249,14.072,29.844,222.4,494.3245,171,240,0.001,251,201,228,275,219,240,243,160,0.001,161,299,51,0.001,0.001,0.001,0.001
1250,14.947,27.348,203.37,543.0558,171,163,253,177,232,174,0.001,177,256,261,159,0.001,202,271,241,0.001,0.001,0.001,0.001
1251,8.479,24.834,187.27,343.2471,171,240,217,0.001,292,0.001,0.001,285,194,0.001,0.001,164,187,397,0.001,583,0.001,0.001,0.001
1252,13.992,27.84,208.66,405.3729,171,115,140,0.001,174,0.001,0.001,181,361,226,579,0.001,266,232,181,103,0.001,0.001,0.001
1253,11.521,27.483,206.33,387.2509,170,0.001,215,249,0.001,101,0.001,258,428,290,517,0.001,0.001,246,246,0.001,0.001,0.001,0.001
1254,12.918,26.818,200.97,411.2044,170,191,0.001,201,388,314,434,218,0.001,0.001,85,94,162,199,0.001,264,0.001,0.001,0.001
1255,10.862,22.436,170.87,271.2266,170,0.001,326,0.001,232,210,190,198,226,214,242,294,195,0.001,0.001,219,0.001,0.001,0.001
1256,12.42,32.071,237.82,602.1606,168,199,0.001,156,212,193,0.001,0.001,192,221,241,202,242,198,225,245,0.001,0.001,0.001
1257,14.115,29.177,216.76,561.1312,168,187,142,132,147,201,0.001,234,225,267,242,0.001,133,186,280,149,0.001,0.001,0.001
1258,16.307,35.933,266.43,609.4522,168,0.001,230,280,165,0.001,0.001,188,301,0.001,123,0.001,0.001,1238,0.001,0.001,0.001,0.001,0.001
1259,12.966,17.423,133.62,244.0263,168,441,420,412,360,412,0.001,0.001,0.001,0.001,477,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1260,13.176,26.318,197.46,399.2533,168,127,410,365,287,111,0.001,89,163,0.001,0.001,0.001,218,452,128,163,0.001,0.001,0.001
1261,12.413,31.76,235.88,558.1709,167,270,0.001,0.001,265,0.001,212,425,0.001,347,384,0.001,0.001,310,296,0.001,0.001,0.001,0.001
1262,11.557,17.534,135.08,218.0292,167,0.001,0.001,584,0.001,0.001,423,476,0.001,512,513,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1263,13.95,19.125,145.28,288.0322,167,0.001,0.001,302,0.001,0.001,0.001,0.001,763,0.001,0.001,0.001,658,0.001,784,0.001,0.001,0.001,0.001
1264,12.494,19.132,145.33,286.0399,167,0.001,0.001,0.001,0.001,359,397,380,143,315,231,0.001,350,0.001,0.001,331,0.001,0.001,0.001
1265,12.415,35.155,260.03,678.1648,167,163,167,123,155,146,164,174,176,173,204,158,184,173,171,172,0.001,0.001,0.001
1266,13.324,29.924,222.43,544.2654,167,0.001,212,102,192,169,146,175,267,255,128,0.001,194,260,188,214,0.001,0.001,0.001
1267,14.813,21.779,165.22,297.0459,166,0.001,240,205,216,162,151,161,170,181,168,0.001,168,268,210,197,0.001,0.001,0.001
1268,15.692,37.491,276.65,758.5361,166,137,236,0.001,181,0.001,220,211,128,0.001,188,232,330,338,150,146,0.001,0.001,0.001
1269,11.605,23.386,177.38,295.2274,166,0.001,294,0.001,0.001,335,218,203,0.001,141,175,338,170,350,268,0.001,0.001,0.001,0.001
1270,14.909,18.409,141.38,230.9775,166,0.001,0.001,214,479,0.001,0.001,365,545,349,0.001,0.001,0.001,387,0.001,153,0.001,0.001,0.001
1271,16.004,37.828,279.07,777.5187,165,0.001,0.001,83,0.001,132,1580,0.001,0.001,0.001,287,0.001,0.001,0.001,309,90,0.001,0.001,0.001
1272,14.185,20.987,159,307.0085,165,129,335,168,259,0.001,136,217,226,231,0.001,98,160,334,0.001,188,0.001,0.001,0.001
1273,1.164,19.637,150.81,233.1017,165,248,0.001,324,337,412,252,0.001,0.001,0.001,0.001,250,0.001,0.001,254,403,0.001,0.001,0.001
1274,14.184,30.18,223.46,645.122,165,194,0.001,207,194,0.001,147,0.001,0.001,618,140,195,0.001,376,269,136,0.001,0.001,0.001
1275,12.725,26.771,200.58,410.235,165,0.001,433,323,0.001,227,125,264,205,309,0.001,76,0.001,226,130,157,0.001,0.001,0.001
1276,13.392,29.307,217.55,574.1297,165,114,192,0.001,237,0.001,0.001,330,267,241,228,0.001,172,279,263,152,0.001,0.001,0.001
1277,13.958,31.768,237.05,473.3631,165,127,212,234,0.001,177,0.001,250,422,262,0.001,167,0.001,296,327,0.001,0.001,0.001,0.001
1278,10.473,24.646,186,335.2187,165,0.001,186,198,212,186,141,186,161,173,153,155,203,181,165,173,0.001,0.001,0.001
1279,11.665,20.756,159.66,225.1847,165,284,0.001,0.001,632,236,517,232,0.001,0.001,0.001,0.001,327,0.001,0.001,240,0.001,0.001,0.001
1280,13.32,26.827,201.03,409.2352,164,0.001,98,121,0.001,0.001,0.001,0.001,0.001,0.001,393,325,0.001,462,411,657,0.001,0.001,0.001
1281,15.3,23.451,176.19,379.0493,164,0.001,219,0.001,232,137,0.001,228,234,354,150,141,231,326,215,0.001,0.001,0.001,0.001
1282,15.164,23.156,176.13,281.2477,164,231,353,278,0.001,221,0.001,377,0.001,0.001,235,0.001,0.001,417,0.001,349,0.001,376,0.001
1283,14.204,25.952,195.33,355.3208,164,0.001,0.001,0.001,281,0.001,398,303,328,285,309,0.001,155,191,207,0.001,0.001,0.001,0.001
1284,13.187,18.327,140.67,232.0459,163,0.001,360,0.001,0.001,0.001,437,418,420,390,424,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1285,15.245,32.084,238,578.3826,163,0.001,244,0.001,0.001,0.001,0.001,211,135,167,235,365,416,192,249,229,0.001,0.001,0.001
1286,14.46,33.934,251.94,577.4825,163,126,247,252,285,0.001,0.001,299,522,0.001,373,0.001,156,0.001,183,0.001,0.001,0.001,0.001
1287,14.184,23.123,175.16,309.0052,163,154,476,242,392,0.001,0.001,258,0.001,0.001,172,0.001,204,0.001,263,281,0.001,0.001,0.001
1288,9.524,23.329,177.11,293.2109,163,267,153,0.001,322,367,0.001,217,0.001,196,0.001,376,140,403,0.001,0.001,0.001,0.001,0.001
1289,14.835,29.075,217.88,413.3055,162,201,137,254,121,210,410,260,133,329,200,0.001,0.001,0.001,176,0.001,0.001,0.001,0.001
1290,2.7,24.983,187.26,403.0869,162,151,128,0.001,0.001,0.001,218,234,202,206,343,125,142,167,354,159,0.001,0.001,0.001
1291,14.672,30.173,223.53,641.0898,161,0.001,420,177,332,319,166,225,0.001,262,0.001,0.001,0.001,354,0.001,160,0.001,0.001,0.001
1292,12.412,32.522,241.46,571.1748,160,672,0.001,0.001,0.001,0.001,0.001,0.001,874,0.001,0.001,0.001,0.001,853,0.001,0.001,0.001,0.001,0.001
1293,15.632,34.485,256.4,543.4043,160,150,334,240,0.001,199,111,0.001,0.001,190,72,0.001,0.001,1007,0.001,94,0.001,0.001,0.001
1294,13.836,28.676,214.84,415.3204,160,109,112,160,137,167,0.001,0.001,233,199,722,51,208,0.001,162,135,0.001,0.001,0.001
1295,13.61,23.21,177.24,255.2329,159,0.001,0.001,0.001,0.001,516,543,417,491,0.001,0.001,0.001,425,0.001,0.001,0.001,0.001,0.001,0.001
1296,6.764,30.337,226.31,469.2258,159,0.001,576,0.001,0.001,0.001,0.001,170,121,1185,0.001,0.001,0.001,0.001,0.001,338,0.001,0.001,0.001
1297,13.507,33.059,245.58,559.3978,159,85,120,192,352,0.001,0.001,0.001,260,108,357,218,154,302,242,0.001,0.001,0.001,0.001
1298,12.794,34.638,256.5,646.1885,159,767,0.001,0.001,93,0.001,199,0.001,688,0.001,0.001,0.001,0.001,640,0.001,0.001,0.001,0.001,0.001
1299,14.289,37.311,275.29,753.47,159,0.001,0.001,152,0.001,157,230,254,237,163,233,193,206,166,185,210,0.001,0.001,0.001
1300,11.632,18.998,146.04,227.0017,159,0.001,232,197,265,0.001,188,0.001,298,243,247,0.001,318,0.001,193,205,0.001,0.001,0.001
1301,9.732,23.369,177.45,293.2111,159,0.001,438,0.001,547,508,0.001,0.001,51,0.001,0.001,0.001,0.001,430,0.001,404,0.001,0.001,0.001
1302,11.918,27.717,207.2,446.2569,158,245,0.001,127,391,259,0.001,0.001,238,121,196,0.001,132,492,0.001,176,0.001,0.001,0.001
1303,13.492,27.759,208.05,403.3579,158,110,0.001,0.001,0.001,0.001,0.001,0.001,532,408,1036,0.001,0.001,287,0.001,0.001,0.001,0.001,0.001
1304,14.436,23.062,175.87,265.2523,158,159,206,189,210,185,159,0.001,199,187,0.001,99,156,231,158,234,0.001,0.001,0.001
1305,15.59,25.891,194.4,387.0332,158,223,373,0.001,352,0.001,0.001,299,290,226,0.001,0.001,0.001,276,127,206,0.001,0.001,0.001
1306,10.815,24.477,185.22,315.193,158,0.001,463,299,415,0.001,0.001,0.001,440,272,242,151,88,0.001,0.001,0.001,0.001,0.001,0.001
1307,11.497,26.148,196.63,365.2686,158,0.001,0.001,226,0.001,0.001,0.001,0.001,564,390,654,0.001,0.001,305,229,0.001,0.001,0.001,0.001
1308,12.665,26.381,197.92,398.2563,157,0.001,349,241,332,196,0.001,0.001,220,158,0.001,0.001,186,354,101,220,0.001,0.001,0.001
1309,14.419,33.913,251.59,591.4627,157,112,75,71,283,0.001,0.001,0.001,353,90,484,237,213,253,181,0.001,0.001,0.001,0.001
1310,14.322,27.546,205.98,442.2837,157,158,138,128,122,251,256,0.001,141,453,151,0.001,0.001,137,181,234,0.001,0.001,0.001
1311,9.408,18.474,142.31,218.9843,156,195,168,147,183,193,157,181,0.001,194,198,188,0.001,149,183,208,97,85,116
1312,15.273,25.828,194.65,351.326,156,151,237,210,170,225,0.001,171,0.001,284,0.001,162,0.001,341,185,207,0.001,0.001,0.001
1313,3.224,18.472,142.34,217.0158,156,0.001,0.001,0.001,0.001,144,0.001,632,0.001,0.001,0.001,548,1017,0.001,0.001,0.001,0.001,0.001,0.001
1314,13.118,32.158,239.36,511.3997,156,0.001,0.001,253,92,0.001,0.001,0.001,304,375,641,0.001,184,326,165,0.001,0.001,0.001,0.001
1315,14.215,26.446,198.54,395.2552,156,242,138,185,151,345,0.001,0.001,202,590,0.001,0.001,0.001,361,0.001,126,0.001,0.001,0.001
1316,15.791,28.323,211.99,423.4193,156,0.001,188,188,233,0.001,238,0.001,229,323,0.001,0.001,187,302,243,208,277,0.001,0.001
1317,1.595,26.186,195.63,451.1351,156,172,185,0.001,203,0.001,0.001,324,239,217,293,0.001,159,212,145,190,0.001,0.001,0.001
1318,14.647,29.128,218.24,415.321,155,173,266,140,229,262,0.001,0.001,0.001,226,184,0.001,236,263,141,210,0.001,0.001,0.001
1319,13.554,26.849,201.18,413.2689,155,273,278,311,0.001,292,0.001,128,0.001,0.001,190,264,148,0.001,263,181,0.001,0.001,0.001
1320,13.462,33.415,247.78,602.3469,155,220,0.001,177,0.001,128,0.001,228,276,395,395,0.001,238,271,0.001,0.001,0.001,0.001,0.001
1321,14.993,23.443,176.17,379.049,155,81,222,156,183,0.001,0.001,173,244,291,133,0.001,169,337,136,201,0.001,0.001,0.001
1322,5.433,17.589,134.73,245.066,155,286,149,141,236,0.001,0.001,303,0.001,275,422,0.001,217,0.001,290,0.001,0.001,0.001,0.001
1323,16.44,29.127,217.65,451.4516,155,159,263,0.001,301,141,0.001,157,0.001,317,167,193,0.001,378,0.001,243,0.001,0.001,0.001
1324,14.296,34.6,256.37,615.4599,154,0.001,61,0.001,495,0.001,0.001,175,284,0.001,347,239,0.001,222,151,334,0.001,0.001,0.001
1325,15.446,29.894,223.09,459.3267,153,0.001,212,0.001,0.001,0.001,269,205,153,284,191,0.001,196,174,326,287,0.001,0.001,0.001
1326,15.876,36.897,272.63,736.5293,153,124,502,351,182,63,0.001,0.001,286,0.001,220,0.001,394,173,0.001,0.001,0.001,0.001,0.001
1327,12.958,21.62,165.69,241.2164,153,201,180,178,289,184,215,219,0.001,0.001,0.001,137,303,185,0.001,200,0.001,0.001,0.001
1328,14.934,25.867,194.3,387.0333,152,97,671,202,126,0.001,295,143,0.001,274,0.001,0.001,0.001,474,0.001,0.001,0.001,0.001,0.001
1329,9.726,29.567,220,529.2047,152,0.001,212,326,469,0.001,101,0.001,0.001,0.001,67,0.001,866,241,0.001,0.001,0.001,0.001,0.001
1330,4.962,26.477,198.97,383.1518,152,430,148,173,351,304,0.001,381,0.001,125,0.001,0.001,0.001,0.001,244,120,0.001,0.001,0.001
1331,15.717,31.543,234.44,546.3925,151,227,193,0.001,210,361,185,0.001,86,201,122,0.001,129,200,185,170,0.001,0.001,0.001
1332,12.829,26.394,198.49,369.3,151,0.001,188,185,127,162,107,152,279,204,227,0.001,0.001,243,151,236,0.001,0.001,0.001
1333,15.209,37.454,276.37,768.5551,150,321,0.001,315,0.001,213,426,0.001,0.001,0.001,0.001,67,454,0.001,211,248,201,0.001,0.001
1334,14.626,31.765,236.55,503.41,150,0.001,253,190,166,0.001,0.001,199,257,281,217,216,136,0.001,225,115,0.001,0.001,0.001
1335,13.187,20.493,155.3,305.0469,150,275,255,0.001,251,0.001,293,290,0.001,319,0.001,0.001,290,0.001,277,0.001,0.001,0.001,277
1336,13.593,17.093,131.63,221.0212,150,0.001,557,502,0.001,0.001,438,0.001,0.001,0.001,0.001,426,0.001,0.001,0.001,322,0.001,259,0.001
1337,14.033,27.858,208.15,447.1332,150,0.001,169,133,171,0.001,255,206,211,0.001,172,104,247,168,201,208,0.001,0.001,0.001
1338,13.012,17.103,131.82,221.0212,150,0.001,687,872,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,685,0.001,0.001,0.001,0.001
1339,14.918,40.699,299.75,866.5916,150,135,202,261,307,0.001,323,0.001,154,0.001,225,0.001,364,109,0.001,163,0.001,0.001,0.001
1340,15.631,20.801,157.57,309.0391,149,229,426,0.001,250,0.001,274,310,262,262,0.001,0.001,0.001,0.001,0.001,225,0.001,0.001,0.001
1341,14.857,23.192,174.2,387.0327,149,447,0.001,426,0.001,257,0.001,0.001,0.001,0.001,331,224,459,91,0.001,0.001,0.001,0.001,0.001
1342,3.641,21.338,161.1,331.042,149,0.001,0.001,0.001,336,0.001,0.001,0.001,320,339,375,0.001,0.001,511,351,0.001,0.001,0.001,0.001
1343,11.918,27.164,203.28,432.2413,149,259,224,163,374,0.001,0.001,0.001,237,119,0.001,0.001,0.001,470,213,171,0.001,0.001,0.001
1344,15.067,23.346,177.45,283.2633,149,208,211,0.001,192,193,174,0.001,213,228,0.001,179,0.001,236,228,167,185,0.001,173
1345,12.206,23.185,174.09,388.0339,148,0.001,0.001,1072,0.001,0.001,0.001,728,0.001,0.001,0.001,427,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1346,14.823,30.26,223.97,655.1049,148,331,0.001,359,0.001,254,0.001,89,108,103,297,68,367,158,93,0.001,0.001,0.001,0.001
1347,13.445,17.43,133.49,245.0225,148,286,0.001,0.001,340,298,291,0.001,0.001,193,0.001,238,264,311,0.001,0.001,0.001,0.001,0.001
1348,8.628,24.358,183.98,329.2321,148,148,255,0.001,402,188,0.001,98,117,63,138,0.001,162,303,180,167,0.001,0.001,0.001
1349,14.185,20.082,153.07,268.9927,148,93,254,150,268,83,119,151,214,193,0.001,127,117,292,159,0.001,0.001,0.001,0.001
1350,14.338,26.126,196.77,357.2785,147,0.001,507,235,182,209,0.001,226,191,0.001,0.001,0.001,0.001,198,110,353,0.001,0.001,0.001
1351,14.106,33.252,246.99,575.467,147,111,0.001,126,253,92,0.001,0.001,0.001,0.001,0.001,1294,0.001,0.001,160,171,0.001,0.001,0.001
1352,13.448,23.951,181.44,308.2039,147,0.001,596,184,362,0.001,0.001,0.001,146,0.001,0.001,273,299,345,0.001,0.001,0.001,0.001,0.001
1353,13.772,31.947,237.74,517.3884,147,0.001,161,219,101,0.001,0.001,82,424,0.001,250,341,196,265,100,66,0.001,0.001,0.001
1354,14.756,25.433,189.83,469.0362,147,0.001,364,227,327,0.001,203,0.001,358,0.001,0.001,0.001,97,366,147,110,0.001,0.001,0.001
1355,2.106,16.186,127.2,161.0237,147,883,0.001,0.001,0.001,0.001,0.001,369,204,249,0.001,0.001,0.001,0.001,493,0.001,0.001,0.001,0.001
1356,14.435,27.806,211.14,283.2632,146,0.001,0.001,0.001,0.001,0.001,854,0.001,0.001,0.001,0.001,0.001,1343,0.001,0.001,0.001,0.001,0.001,0.001
1357,5.944,17.564,134.67,239.0847,146,0.001,283,258,0.001,104,0.001,149,0.001,409,231,124,389,0.001,0.001,248,0.001,0.001,0.001
1358,11.622,29.329,218.44,507.2233,146,0.001,229,147,426,0.001,0.001,0.001,0.001,0.001,200,0.001,573,219,260,138,0.001,0.001,0.001
1359,7.484,28.306,211.47,449.1605,146,138,0.001,0.001,0.001,235,0.001,415,331,284,365,0.001,202,0.001,217,0.001,0.001,0.001,0.001
1360,2.371,23.879,180.67,315.134,146,97,179,197,99,0.001,129,0.001,167,121,282,157,151,174,318,113,0.001,0.001,0.001
1361,12.409,34.368,254.55,654.1538,145,338,275,310,294,0.001,0.001,304,0.001,0.001,313,0.001,348,0.001,0.001,0.001,0.001,0.001,0.001
1362,9.351,23.315,176.97,293.2113,145,79,174,83,208,178,77,230,151,153,103,190,163,169,0.001,219,0.001,0.001,0.001
1363,0.359,20.128,153.57,261.0778,145,0.001,0.001,524,0.001,204,110,0.001,196,139,210,0.001,358,205,125,105,0.001,0.001,0.001
1364,13.867,28.455,212.3,481.2789,145,0.001,604,143,623,106,175,0.001,0.001,0.001,0.001,95,0.001,183,0.001,242,0.001,0.001,0.001
1365,13.268,26.85,202,369.2413,145,0.001,622,432,321,0.001,0.001,0.001,0.001,0.001,0.001,0.001,290,377,129,0.001,0.001,0.001,0.001
1366,13.836,19.12,145.32,287.0358,145,0.001,579,0.001,562,0.001,0.001,0.001,0.001,0.001,0.001,596,434,0.001,0.001,0.001,0.001,0.001,373
1367,2.312,18.892,145.2,230.0107,145,0.001,0.001,367,86,0.001,0.001,429,0.001,1289,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1368,14.558,32.788,243.68,549.4514,145,279,350,0.001,203,0.001,0.001,197,0.001,450,0.001,252,0.001,348,0.001,89,0.001,0.001,0.001
1369,13.39,28.747,214.79,445.3306,144,0.001,0.001,402,0.001,0.001,0.001,0.001,0.001,51,1075,0.001,0.001,548,89,0.001,0.001,0.001,0.001
1370,9.444,23.322,176.91,293.2112,144,275,0.001,0.001,0.001,0.001,107,335,156,68,187,194,0.001,389,0.001,454,0.001,0.001,0.001
1371,14.081,29.13,217.57,447.347,144,0.001,0.001,0.001,104,0.001,0.001,0.001,506,238,802,68,0.001,233,128,83,0.001,0.001,0.001
1372,13.096,18.033,139.32,208.9748,144,166,64,160,220,175,171,76,172,121,0.001,144,157,194,167,175,0.001,0.001,0.001
1373,12.458,29.066,218.04,401.3052,144,117,245,263,207,252,0.001,0.001,0.001,0.001,131,255,223,184,0.001,284,0.001,0.001,0.001
1374,11.146,26.514,199.05,393.1945,144,267,252,0.001,290,261,0.001,284,217,0.001,0.001,0.001,0.001,311,0.001,277,0.001,0.001,0.001
1375,15.913,34.428,254.89,647.4652,144,0.001,0.001,188,0.001,384,1207,113,0.001,0.001,93,0.001,0.001,0.001,0.001,174,0.001,0.001,0.001
1376,13.508,32.531,241.86,537.4152,144,72,0.001,0.001,195,171,0.001,156,0.001,93,229,320,0.001,415,134,373,0.001,0.001,0.001
1377,14.818,25.429,191.85,341.3053,144,170,157,198,167,167,220,182,196,280,171,0.001,0.001,250,0.001,0.001,0.001,0.001,0.001
1378,16.249,37.454,276.48,750.5122,143,0.001,0.001,0.001,0.001,142,1545,0.001,0.001,456,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1379,14.045,27.941,208.61,467.2805,143,135,0.001,198,68,85,485,507,0.001,264,0.001,173,0.001,0.001,0.001,226,0.001,0.001,0.001
1380,12.642,17.429,133.51,245.0226,143,253,273,0.001,255,238,0.001,0.001,0.001,302,206,273,0.001,339,0.001,0.001,0.001,0.001,147
1381,14.544,29.257,218.12,488.3142,143,130,104,0.001,212,159,204,271,0.001,418,181,125,0.001,0.001,165,170,0.001,0.001,0.001
1382,15.632,18.396,141.27,230.9775,142,227,0.001,0.001,319,0.001,274,320,271,0.001,0.001,0.001,177,312,0.001,237,0.001,0.001,0.001
1383,14.278,27.362,203.4,543.0558,142,0.001,370,0.001,337,0.001,0.001,0.001,298,212,0.001,336,0.001,454,0.001,128,0.001,0.001,0.001
1384,9.163,26.13,196.35,369.1735,142,0.001,0.001,0.001,0.001,0.001,0.001,0.001,84,0.001,0.001,0.001,0.001,1392,601,55,0.001,0.001,0.001
1385,12.131,17.133,131.96,220.025,142,0.001,433,0.001,126,0.001,0.001,0.001,0.001,257,401,463,447,0.001,0.001,0.001,0.001,0.001,193
1386,16.2,37.19,274.63,753.5101,141,0.001,0.001,0.001,0.001,2044,0.001,0.001,0.001,76,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1387,9.672,18.551,139.57,368.9743,141,0.001,135,159,215,123,175,189,181,203,175,0.001,0.001,143,207,213,130,0.001,0.001
1388,15.1,26.642,200.38,369.3355,141,83,151,169,248,150,120,144,227,204,0.001,0.001,118,153,198,153,0.001,0.001,0.001
1389,16.329,35.523,262.72,673.5293,141,0.001,104,0.001,195,0.001,542,0.001,0.001,309,226,266,250,0.001,225,0.001,0.001,0.001,0.001
1390,9.586,24.491,184.97,335.2207,141,411,338,0.001,236,317,0.001,0.001,0.001,0.001,0.001,0.001,0.001,577,67,171,0.001,0.001,0.001
