ID,RT,DT,CCS,m/z,30 CC7-1.d.DeMP, 31 CC7-2.d.DeMP, 32 CC7-3.d.DeMP, 187 CC7-1.d.DeMP, 188 CC7-2.d.DeMP, 189 CC7-3.d.DeMP, 193 B3 MB-1.d.DeMP, 194 B3 MB-2.d.DeMP, 195 B3 MB-3.d.DeMP, 260 B4 MB-1.d.DeMP, 261 B4 MB-2.d.DeMP, 262 B4 MB-3.d.DeMP, 103 B2 MB-1.d.DeMP, 104 B2 MB-2.d.DeMP, 105 B2 MB-3.d.DeMP, 36 B1 MB-1.d.DeMP, 37 B1 MB-2.d.DeMP, 38 B1 MB-3.d.DeMP
8740,0.462,22.624,178.31,148.9786,0.001,688,240,0.001,471,472,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8741,2.285,29.588,221.04,425.2692,0.001,0.001,814,900,157,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8742,1.496,25.362,203.9,118.9684,0.001,688,255,539,0.001,389,419,0.001,0.001,0.001,0.001,0.001,261,132,0.001,0.001,0.001,0.001
8743,4.75,29.1,216.78,467.3101,0.001,0.001,0.001,0.001,629,0.001,0.001,0.001,0.001,0.001,0.001,150,465,0.001,0.001,1641,1486,0.001
8744,0.34,24.31,191.64,148.978,0.001,0.001,693,418,0.001,760,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8745,3.815,31.257,233.18,447.3492,492,447,0.001,459,472,0.001,0.001,0.001,0.001,0.001,0.001,0.001,228,0.001,0.001,0.001,0.001,0.001
8746,3.145,23.089,175.26,275.1995,0.001,0.001,0.001,215,912,743,224,0.001,0.001,0.001,0.001,0.001,0.001,142,0.001,0.001,0.001,0.001
8747,2.615,20.04,153.78,220.1473,866,0.001,1004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,739,436,0.001,0.001,0.001
8748,4.287,30.927,229.41,553.1943,0.001,0.001,188,599,542,541,0.001,0.001,0.001,0.001,0.001,244,0.001,0.001,166,0.001,0.001,263
8749,0.383,25.651,202.22,148.9798,614,285,551,0.001,0.001,419,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8750,4.667,39.944,294.05,825.5883,1869,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1531,0.001
8751,0.982,21.363,175.75,94.9234,0.001,0.001,0.001,912,0.001,0.001,165,256,196,248,299,363,350,541,517,429,374,0.001
8752,1.586,31.718,235.64,519.2326,0.001,1868,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8753,3.67,39.407,290.05,837.5505,498,411,73,277,327,282,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8754,2.545,28.506,213.18,410.163,0.001,0.001,0.001,0.001,0.001,0.001,0.001,187,432,337,274,379,393,0.001,641,281,390,421
8755,0.912,22.851,171.49,362.9589,0.001,0.001,0.001,351,0.001,0.001,431,0.001,436,0.001,462,459,482,0.001,406,0.001,523,536
8756,0.671,10.944,91.81,78.9175,545,468,451,0.001,403,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8757,0.381,25.084,187.8,391.14,541,723,603,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8758,0.754,23.474,177.13,315.2168,606,130,307,434,390,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8759,3.546,28.834,214.79,467.3317,1867,0.001,0.001,0.001,0.001,0.001,96,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8760,1.906,29.262,240.96,94.9242,160,197,385,235,0.001,889,0.001,0.001,0.001,107,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8761,4.162,36.669,270.47,730.543,0.001,0.001,1866,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8762,0.395,18.527,274.62,269.1119,0.001,884,982,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8763,2.089,24.891,186.41,388.933,206,220,0.001,688,385,367,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8764,1.255,28.528,213.18,421.2111,0.001,0.001,0.001,555,579,731,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8765,2.401,36.071,267.53,563.9603,908,0.001,0.001,957,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8766,3.165,30.658,227.75,521.3359,1469,0.001,0.001,395,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8767,0.419,15.965,124.48,168.9879,310,445,328,0.001,494,287,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8768,4.36,41.485,305.26,857.5267,194,307,0.001,964,0.001,399,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8769,2.933,29.425,220.09,409.2351,0.001,417,0.001,361,523,563,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8770,1.167,27.008,199.47,664.9626,0.001,0.001,0.001,500,681,683,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8771,4.053,35.953,265.34,708.505,0.001,1072,792,0.001,0.001,0.001,0.001,0.001,457,0.001,0.001,415,561,997,311,0.001,634,299
8772,1.362,21.011,160.4,243.1967,541,726,597,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8773,3.585,23.933,177.58,531.1623,0.001,629,1235,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8774,0.972,25.324,215.47,72.9916,0.001,0.001,0.001,0.001,0.001,0.001,475,333,433,307,411,308,296,0.001,161,247,338,418
8775,1.751,20.293,154.64,251.1148,1171,692,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8776,2.624,32.353,239.26,635.2202,273,0.001,301,437,440,412,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8777,0.289,16.878,131.78,166.0144,0.001,0.001,0.001,379,687,797,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8778,2.637,33.991,251.57,616.4729,0.001,538,0.001,0.001,680,644,826,0.001,0.001,0.001,825,0.001,257,395,0.001,0.001,0.001,0.001
8779,1.299,17.893,134.19,360.8211,103,305,0.001,407,414,633,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8780,0.467,23.461,176.62,335.1459,0.001,0.001,0.001,577,716,569,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8781,2.739,21.9,165.63,297.0458,511,0.001,0.001,608,336,305,298,407,521,478,399,0.001,389,423,0.001,421,387,0.001
8782,0.242,17.192,132.4,205.0339,430,307,459,292,0.001,373,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8783,2.421,27.665,206.06,467.2659,0.001,0.001,131,0.001,110,0.001,646,447,433,260,0.001,383,238,98,348,330,225,314
8784,2.069,21.053,160.39,253.1419,0.001,0.001,789,0.001,0.001,1072,0.001,87,0.001,78,0.001,57,0.001,0.001,0.001,0.001,0.001,0.001
8785,1.068,23.805,176.98,492.8285,252,132,156,0.001,0.001,0.001,377,377,337,199,339,311,0.001,339,298,354,288,502
8786,0.462,26.623,214.42,116.9685,0.001,0.001,0.001,0.001,0.001,875,690,894,789,549,798,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8787,1.595,21.201,161.52,253.0952,0.001,0.001,0.001,1019,0.001,841,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8788,0.473,18.235,140.07,215.0674,987,0.001,873,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8789,2.083,23.86,180.15,311.1677,1355,0.001,0.001,505,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8790,0.51,16.949,131.56,181.0695,0.001,1351,0.001,509,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8791,1.743,32.517,240.13,681.1732,348,314,54,571,0.001,572,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8792,3.14,35.409,261.78,650.3681,768,0.001,0.001,0.001,1091,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8793,0.558,26.518,198.37,404.2638,105,308,235,371,413,427,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8794,0.505,18.278,140.33,217.0515,326,1084,153,0.001,0.001,296,0.001,0.001,255,0.001,0.001,0.001,0.001,0.001,249,0.001,0.001,0.001
8795,3.048,33.861,251.51,530.3251,0.001,0.001,0.001,604,690,564,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8796,1.303,25.065,186.32,498.9022,61,0.001,0.001,0.001,0.001,0.001,726,782,589,0.001,739,0.001,0.001,0.001,0.001,0.001,879,0.001
8797,0.483,17.485,138.79,135.0797,0.001,432,317,188,457,463,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8798,3.554,25.662,192.84,353.3052,208,367,0.001,1282,0.001,0.001,0.001,0.001,0.001,0.001,107,337,0.001,0.001,416,203,157,0.001
8799,3.685,26.311,196.68,412.76,0.001,307,0.001,347,132,1071,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8800,3.189,20.615,156.17,284.9724,412,0.001,0.001,0.001,492,0.001,537,909,967,0.001,542,277,0.001,481,0.001,0.001,0.001,0.001
8801,4.625,30.78,228.65,522.3736,0.001,0.001,0.001,0.001,0.001,0.001,595,0.001,808,0.001,331,328,0.001,0.001,0.001,938,713,0.001
8802,2.906,20.625,158.54,214.189,0.001,0.001,0.001,0.001,0.001,0.001,159,500,466,0.001,418,0.001,421,568,407,327,445,0.001
8803,2.081,22.975,174.16,283.225,0.001,0.001,0.001,858,997,0.001,0.001,0.001,233,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8804,4.73,41.373,304.22,894.6292,1855,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,518,0.001,0.001,0.001,0.001,0.001,826,0.001
8805,2.914,29.746,221.69,461.3251,0.001,0.001,330,367,599,558,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8806,3.981,26.51,198.15,414.2638,0.001,0.001,401,435,493,525,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8807,0.442,17.546,135.82,189.0545,0.001,0.001,0.001,0.001,0.001,65,0.001,0.001,285,2658,0.001,457,0.001,0.001,307,0.001,0.001,0.001
8808,1.645,25.199,190.05,321.2406,0.001,0.001,0.001,453,662,738,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8809,2.111,31.945,236.5,601.3739,913,489,450,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8810,4.533,29.564,219.8,505.2568,0.001,0.001,0.001,771,707,374,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8811,0.484,18.541,147.03,137.0597,0.001,479,368,384,0.001,621,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8812,0.67,26.583,197.08,556.9439,0.001,403,0.001,0.001,0.001,0.001,510,254,407,443,468,407,0.001,301,254,282,0.001,377
8813,1.504,26.809,199.95,445.1933,492,419,0.001,473,0.001,467,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8814,4.064,12.673,103.09,102.9209,0.001,0.001,0.001,516,564,407,0.001,0.001,0.001,1404,892,1067,0.001,162,176,0.001,0.001,0.001
8815,1.811,38.345,281.34,1048.0532,0.001,0.001,0.001,643,646,561,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8816,3.442,27.677,206.23,461.099,580,242,421,0.001,313,294,0.001,0.001,171,0.001,0.001,0.001,0.001,412,462,388,327,273
8817,4.478,33.889,251.11,586.4952,0.001,0.001,0.001,0.001,1119,730,421,339,0.001,207,0.001,0.001,0.001,0.001,0.001,171,0.001,0.001
8818,3.413,29.567,217.17,926.9536,0.001,0.001,0.001,1849,0.001,0.001,0.001,0.001,0.001,0.001,0.001,79,0.001,0.001,0.001,0.001,0.001,0.001
8819,2.494,26.4,198.54,347.0914,148,0.001,0.001,277,308,271,674,720,578,447,506,515,0.001,0.001,0.001,0.001,257,0.001
8820,1.155,28.926,233.01,116.9712,815,444,589,0.001,0.001,0.001,0.001,636,0.001,356,0.001,0.001,0.001,0.001,0.001,0.001,561,0.001
8821,2.96,29.264,218.44,437.3256,0.001,0.001,0.001,0.001,1149,699,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8822,0.367,20.012,152.37,255.0862,0.001,0.001,0.001,60,0.001,0.001,573,522,513,1095,626,302,0.001,0.001,0.001,0.001,0.001,64
8823,3.665,40.565,298.51,851.5999,881,0.001,768,0.001,0.001,198,242,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8824,0.302,25.97,192.51,558.857,0.001,0.001,0.001,0.001,0.001,974,503,1033,0.001,564,0.001,0.001,0.001,0.001,0.001,0.001,808,786
8825,4.535,13.874,111.65,114.9316,234,0.001,0.001,141,636,836,257,118,0.001,192,0.001,346,0.001,0.001,0.001,0.001,0.001,0.001
8826,0.878,20.707,158.49,231.0669,0.001,0.001,293,486,560,508,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8827,2.781,26.594,199.24,386.2988,169,612,0.001,0.001,514,551,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8828,2.861,31.51,233.5,579.2696,0.001,173,156,644,379,494,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8829,2.828,26.11,193.38,580.9649,0.001,0.001,0.001,185,1661,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8830,2.925,14.835,118.84,121.0279,0.001,671,0.001,0.001,0.001,0.001,0.001,0.001,0.001,841,1029,843,978,0.001,0.001,0.001,0.001,0.001
8831,4.638,29.9,222.16,515.2184,834,309,702,0.001,0.001,0.001,0.001,0.001,0.001,790,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8832,3.057,32.22,239.37,521.3373,479,252,244,322,300,248,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8833,0.37,15.179,120.48,134.0442,0.001,213,0.001,500,506,625,829,0.001,0.001,229,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8834,2.383,23.762,179.18,321.1726,381,363,0.001,448,382,270,788,299,318,0.001,77,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8835,2.408,29.398,218.39,518.2508,476,273,330,423,0.001,342,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8836,1.893,30.288,244.02,116.9695,581,0.001,93,661,509,0.001,756,388,504,0.001,575,158,0.001,0.001,0.001,0.001,688,0.001
8837,3.838,36.44,268.8,736.4931,0.001,0.001,0.001,0.001,0.001,0.001,3010,0.001,0.001,0.001,677,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8838,1.827,39.539,296.05,401.9501,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3687,0.001,0.001,0.001,0.001
8839,1.444,33.293,245.65,716.2987,371,0.001,0.001,515,393,564,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8840,2.914,32.031,237.14,605.3329,0.001,0.001,0.001,670,622,551,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8841,1.394,32.474,283.22,61.9855,0.001,0.001,0.001,0.001,0.001,0.001,642,525,611,619,588,700,0.001,0.001,0.001,0.001,0.001,0.001
8842,0.399,19.817,151.22,244.0606,273,533,0.001,382,287,367,329,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8843,1.167,30.288,228.33,328.9643,0.001,0.001,0.001,450,653,739,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8844,2.156,25.114,188.38,371.1526,295,181,194,517,333,322,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8845,1.509,26.016,195.07,377.2327,0.001,0.001,0.001,839,462,541,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8846,4.535,26.529,199.02,371.2056,0.001,0.001,0.001,0.001,0.001,0.001,682,526,399,0.001,0.001,682,263,289,0.001,379,245,218
8847,0.373,22.384,179.19,124.0003,0.001,580,0.001,0.001,0.001,0.001,0.001,625,0.001,647,491,0.001,0.001,667,0.001,573,0.001,679
8848,1.661,30.054,223.14,531.3295,0.001,234,84,486,520,517,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8849,3.485,20.836,159.6,228.1228,0.001,0.001,0.001,567,604,669,643,668,0.001,565,549,0.001,0.001,0.001,663,0.001,0.001,0.001
8850,2.571,38.484,283.89,737.5391,0.001,0.001,0.001,703,637,500,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,77,0.001
8851,4.304,28.746,214.2,463.3108,0.001,0.001,545,626,668,0.001,613,0.001,0.001,701,377,0.001,0.001,0.001,0.001,525,0.001,0.001
8852,4.753,18.785,145.7,184.095,0.001,0.001,0.001,0.001,0.001,0.001,793,1193,151,900,641,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8853,4.411,36.172,266.9,718.539,557,0.001,0.001,0.001,0.001,0.001,0.001,829,0.001,0.001,0.001,0.001,0.001,0.001,1498,0.001,1350,0.001
8854,2.763,32.832,243.22,586.3374,1838,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8855,4.058,36.266,267.6,721.4869,216,0.001,0.001,746,876,0.001,0.001,766,0.001,0.001,0.001,448,0.001,0.001,0.001,0.001,0.001,0.001
8856,2.642,37.92,279.44,777.4714,0.001,0.001,0.001,0.001,0.001,0.001,393,495,224,0.001,233,442,0.001,826,289,0.001,465,309
8857,4.334,34.47,255.3,598.5159,0.001,0.001,0.001,696,588,554,491,621,0.001,203,0.001,0.001,0.001,0.001,0.001,204,0.001,0.001
8858,0.759,24.308,182.68,351.1267,392,342,0.001,0.001,0.001,1104,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8859,3.325,29.426,218.93,488.3168,993,454,390,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8860,3.88,29.558,217.03,944.9449,0.001,913,242,0.001,0.001,514,0.001,759,0.001,0.001,0.001,627,860,0.001,411,0.001,0.001,1017
8861,2.315,31.312,233.26,469.3011,611,528,179,518,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8862,4.239,29.386,218.95,465.3075,0.001,0.001,0.001,0.001,0.001,1836,320,0.001,0.001,0.001,873,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8863,3.761,28.782,214.44,464.3152,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,475,508,0.001,547,504,830,0.001,452,356
8864,1.016,18.856,165.46,59.0132,0.001,0.001,78,0.001,0.001,0.001,0.001,0.001,605,0.001,561,0.001,0.001,0.001,1323,1183,0.001,0.001
8865,0.553,15.235,120.94,134.0006,0.001,433,253,0.001,392,325,436,311,429,911,708,83,0.001,0.001,0.001,0.001,447,345
8866,2.215,28.446,210.09,669.8933,0.001,0.001,0.001,704,579,552,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8867,0.377,23.48,176.79,333.1888,0.001,0.001,0.001,548,683,603,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8868,3.968,27.358,204.81,395.3902,691,479,664,0.001,0.001,0.001,0.001,0.001,0.001,1608,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8869,4.624,26.915,202.09,363.3371,0.001,0.001,0.001,575,660,599,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8870,0.377,24.159,191.28,141.0173,0.001,518,1316,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8871,0.4,19.773,149.22,310.0368,1042,0.001,0.001,217,258,317,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8872,0.271,30.972,244.55,146.9664,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3667,0.001
8873,2.786,25.903,190.87,745.0995,244,0.001,0.001,0.001,768,820,0.001,1236,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,383
8874,4.156,41.111,302.36,886.609,0.001,0.001,0.001,1053,0.001,779,0.001,0.001,0.001,0.001,0.001,0.001,130,0.001,0.001,0.001,0.001,0.001
8875,4.701,36.654,270.75,682.5899,754,0.001,0.001,0.001,484,594,0.001,0.001,629,0.001,0.001,0.001,0.001,0.001,0.001,768,0.001,0.001
8876,0.895,12.207,96.75,134.864,805,488,539,0.001,0.001,0.001,0.001,0.001,0.001,533,0.001,0.001,0.001,0.001,0.001,0.001,463,0.001
8877,4.498,43.346,318.53,936.7487,556,696,579,0.001,0.001,0.001,339,221,231,0.001,0.001,0.001,430,0.001,0.001,498,423,705
8878,0.488,20.584,155.88,286.9721,56,0.001,594,0.001,0.001,0.001,0.001,667,0.001,559,599,676,0.001,0.001,568,590,0.001,0.001
8879,4.446,39.74,293.14,742.5421,0.001,0.001,0.001,235,205,219,674,0.001,0.001,1037,1115,0.001,833,0.001,0.001,0.001,0.001,0.001
8880,0.491,22.48,195.85,61.9879,811,66,50,849,0.001,0.001,0.001,0.001,0.001,0.001,880,0.001,609,0.001,2170,0.001,0.001,0.001
8881,3.767,31.734,235.52,542.3646,1224,171,0.001,434,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8882,3.7,27.428,205.52,385.3318,0.001,478,265,582,272,231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8883,1.771,27.942,205.52,838.9428,0.001,0.001,0.001,583,585,660,513,594,490,728,618,602,0.001,0.001,76,0.001,0.001,0.001
8884,3.106,22.079,168.2,254.2194,0.001,0.001,0.001,0.001,0.001,0.001,0.001,576,584,380,466,562,0.001,374,714,0.001,0.001,0.001
8885,3.715,30.299,226.33,427.3213,265,352,0.001,419,429,363,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8886,1.639,26.911,198.12,788.9454,0.001,0.001,133,545,627,523,444,394,477,521,606,503,0.001,0.001,98,0.001,0.001,136
8887,2.024,21.258,159.29,376.9061,0.001,0.001,325,0.001,0.001,335,0.001,0.001,0.001,1015,666,0.001,0.001,0.001,753,0.001,470,751
8888,0.782,25.2,186.65,576.8013,0.001,0.001,0.001,186,355,286,413,294,187,453,322,395,0.001,0.001,438,444,383,326
8889,4.201,27.084,202.96,383.3538,619,694,514,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,274,0.001,0.001,0.001,415,217,0.001
8890,0.519,26.622,213.9,119.9443,0.001,166,0.001,150,70,0.001,1099,0.001,70,106,820,713,0.001,846,0.001,0.001,0.001,0.001
8891,0.659,19.457,153.09,151.0742,0.001,332,0.001,553,519,423,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8892,3.962,36.639,270.31,726.5471,0.001,0.001,0.001,0.001,0.001,1827,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2049,0.001,0.001
8893,0.249,18.452,140.98,236.9678,0.001,0.001,0.001,438,679,710,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8894,3.73,25.231,189.71,347.2223,459,570,798,0.001,0.001,0.001,51,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8895,3.005,27.816,811.36,436.4212,0.001,0.001,1827,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8896,4.478,22.854,173.64,269.2461,0.001,0.001,0.001,0.001,0.001,0.001,1374,1001,0.001,741,0.001,0.001,0.001,537,0.001,0.001,0.001,0.001
8897,4.14,18.699,146.67,157.1209,428,0.001,0.001,402,247,749,386,370,369,0.001,0.001,0.001,0.001,0.001,0.001,0.001,167,184
8898,3.933,27.707,207.37,399.3475,287,0.001,0.001,664,403,471,0.001,0.001,0.001,0.001,0.001,0.001,137,0.001,0.001,180,0.001,0.001
8899,2.229,33.254,246.39,583.2617,368,1029,0.001,0.001,0.001,428,0.001,0.001,0.001,0.001,0.001,0.001,513,0.001,0.001,0.001,0.001,0.001
8900,4.411,12.614,98.67,158.9092,0.001,0.001,0.001,896,741,0.001,0.001,0.001,0.001,719,768,772,578,813,0.001,0.001,0.001,0.001
8901,0.766,19.829,149.33,327.0936,0.001,0.001,1825,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8902,1.53,40.95,300.8,969.5888,0.001,0.001,0.001,715,591,518,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8903,4.728,34.446,254.62,653.4664,836,385,308,0.001,225,70,0.001,212,0.001,0.001,0.001,114,0.001,0.001,0.001,263,194,246
8904,3.987,20.499,155.28,284.9745,494,420,436,0.001,474,0.001,0.001,0.001,0.001,166,0.001,119,0.001,0.001,317,0.001,0.001,380
8905,1.94,20.122,151.85,310.935,201,201,65,0.001,0.001,0.001,900,0.001,0.001,0.001,0.001,0.001,845,0.001,973,457,0.001,472
8906,2.705,23.823,180.34,293.1732,0.001,0.001,0.001,561,691,571,0.001,760,787,0.001,677,775,0.001,0.001,0.001,0.001,0.001,0.001
